slice z_lens z_source
1 0.010698148381628414 0.0214451802784912
2 0.03224214079459764 0.0430900910207929
3 0.053990108295482564 0.0649432864721323
4 0.07595073619371506 0.0870135851742792
5 0.09813297848780422 0.109310078864526
6 0.12054606699492565 0.131842141841522
7 0.14319952095880506 0.154619440821283
8 0.16610315716006974 0.177651945308104
9 0.18926710055425744 0.20094993850655
10 0.21270179546471346 0.224524028802335
11 0.2364180173588346 0.248385161841538
12 0.2604268852380842 0.272544633239473
13 0.28473987467400375 0.297014101952409
14 0.309368831524478 0.32180560434747
15 0.334325986366641 0.34693156900821
16 0.35962396968509514 0.372404832315774
17 0.3852758278566164 0.398238654848074
18 0.4112950399750961 0.424446738642162
19 0.4376955355633556 0.451043245367875
20 0.46449171322143634 0.478042815463996
21 0.49169846026426844 0.505460588291513
22 0.5193311734050716 0.533312223362184
23 0.5474057805445938 0.561613922704491
24 0.5759387637303468 0.590382454433236
25 0.6049471833542313 0.619635177593497
26 0.6344487036617135 0.649390068354511
27 0.6644616196505833 0.679665747634198
28 0.6950048854428235 0.710481510240656
29 0.726098144218799 0.741857355622932
30 0.757761759809306 0.773814020329904
31 0.7900168500477216 0.806373012283038
32 0.8228853219916992 0.83955664697637
33 0.8563899091317966 0.873388085725179
34 0.8905542107127402 0.907891376093619
35 0.9254027333023458 0.943091494641059
36 0.960960934752805 0.979014392137203
37 0.9894769233553309 1.0
